Name,Park,Track,Speed,Height,Drop,Length,Duration,Inversions
Zombie Ride,Bosque Megico,Steel,62,150,0,863,0,Yes
Yamaha Racing Coaster,Trans Studio Indoor Theme Park,Steel,62.1,164.1,0,902.3,0,Yes
Xcelerator,Knott's Berry Farm,Steel,82,205,130,2202,62,No
X,Six Flags Magic Mountain,Steel,76,175,215,3610,0,Yes
Wodan Timbur Coaster,Europa Park,Wood,62.1,131.3,0,3444.9,205,No
Wildfire,Silver Dollar City,Steel,66,120,155,3073,136,Yes
Wild West Express,Glenwood Caverns Adventure Park,Steel,16.2,10.8,0,197.5,0,No
Wild Thing,Valleyfair!,Steel,74,207,196,5460,180,No
Wild One,Six Flags America,Wood,53,98,88,4000,150,No
Wild Mouse,Funtown Splashtown U.S.A.,Steel,28,49.3,0,1213.9,70,No
Wild Beast,Paramount Canada's Wonderland,Wood,56,82,78,3150,150,No
Wicked Cyclone,Six Flags New England,Steel,55,109,0,3320,0,Yes
Whizzer,Six Flags Great America,Steel,42,70,64,3100,120,No
Wang Zhong Wang,Tianjin Shuishang Park,Steel,49.7,108.3,95.2,2624.7,130,Yes
"Volcano, The Blast Coaster",Paramount's Kings Dominion,Steel,70,155,80,2757,0,Yes
Viper,Six Flags Magic Mountain,Steel,70,188,171,3830,150,Yes
Vertigo,Zoomarine,Steel,47.9,80.4,0,1942.3,90,Yes
Vertigo,Parque de Atracciones de Madrid,Steel,28,45.9,0,1213.9,85,No
Velikoluksky Miasokombinat,Wonder Island,Steel,62.1,124.7,0,3464.6,150,Yes
Veil of Dark,Tokyo Joypolis,Steel,23.6,16.4,0,984.3,0,Yes
Untamed,Canobie Lake Park,Steel,43.5,72.2,0,1184.4,0,Yes
Ukko,LinnanmSki,Steel,65.3,151.6,0,492.2,60,Yes
Twister,Euro Park,Steel,46.6,105,0,2585.3,160,Yes
Twisted Colossus,Six Flags Magic Mountain,Steel,57,121,128,4990,220,Yes
Twisted Coaster,HotZone,Steel,17.4,26.3,0,574.2,0,No
Twist Coaster Robin,Yomiuriland,Steel,38.5,62.3,0,1026.9,0,Yes
Tuff-Tuff TCeget,Grsna Lund,Steel,4.5,8,0,262.5,0,No
Triops,Bagatelle,Steel,50,131.3,0,1013.8,90,Yes
Tower of Terror,Dreamworld,Steel,100,377.33,328.1,1235,28,No
Top Thrill Dragster,Cedar Point,Steel,120,420,400,2800,0,No
Top Gun,Paramount Canada's Wonderland,Steel,56,102,93,2170,125,Yes
Titan,Six Flags Over Texas,Steel,85,245,255,5312,210,No
Titan,Space World,Steel,71.5,166,178,5019.67,180,No
Timber Wolf,Worlds of Fun,Wood,53,100,95,4230,133,No
Tiger Express,Mer de Sable,Steel,28,45.9,0,1213.9,85,No
Thunderbolt,Kennywood Park,Wood,55,70,95,2887,90,No
Thunderbird,Holiday World,Steel,60,140,0,3035,78,Yes
Thunder Dolphin,LaQua,Steel,80.8,262.5,218.1,3500,0,No
Texas Giant,Six Flags Over Texas,Wood,65,143,137,4920,150,No
Terror Twister,Fantawild Dreamland,Steel,65.3,151.6,0,492.2,50,Yes
Tennessee Tornado,Dollywood,Steel,63,163,128,2682,108,Yes
Tempesto,Busch Gardens Williamsburg,Steel,62,150,0,863,0,Yes
Takabisha,Fuji-Q Highland,Steel,62.1,141.1,0,3280.8,112,Yes
T2,Six Flags Kentucky Kingdom,Steel,55,115,95,2170,125,Yes
Switchback,ZDT'S Amusement Park,Wood,40,63,58,1175,0,No
Suspended Roller Coaster,Sino Wonderland,Steel,49.7,108.3,95.2,2624.7,130,Yes
Suspended Looping Coaster Over Water,Century Amusement Park,Steel,49.7,108.3,0,2559.1,0,Yes
Suspended Coaster,Hangzhou Paradise,Steel,49.7,108.3,95.2,2624.7,130,Yes
Superman Ultimate Flight,Six Flags Discovery Kingdom,Steel,62,150,0,863,0,Yes
Superman The Escap,Six Flags Magic Mountain,Steel,100,415,328.1,1235,0,No
Superman - Ride Of Steel,Six Flags New England,Steel,77,208,221,5400,155,No
Superman - Ride Of Steel,Six Flags Darien Lake,Steel,73,208,205,5400,200,No
Stunt Fall,Warner Bros. Movie World,Steel,65.6,191.6,177,1204,92,Yes
Stress Express,Fantawild Adventure,Steel,47,116.5,0,935,108,Yes
Stress Express,Fantawild Dream Park,Steel,47,131.3,0,935,108,Yes
Stress Express,Oriental Heritage,Steel,47,116.5,0,935,108,Yes
Stingray,Giant Wheel Park of Suzhou,Steel,46.6,103.7,0,1213.9,0,Yes
Stinger,Dorney Park & Wildwater Kingdom,Steel,50,131.3,0,1013.8,90,Yes
Steel Force,Dorney Park,Steel,75,200,205,5600,180,No
Steel Eel,SeaWorld Of Texas,Steel,65,150,150,3700,180,No
Steel Dragon 2000,Nagashima Spa Land,Steel,95,318.25,306.75,8133.1,0,No
Starliner,Miracle Strip Amusement Park,Wood,55,70,76,2640,0,No
Spinner,Skara Sommarland,Steel,22.4,36.4,0,984.3,60,No
Spaccatempo,Miragica,Steel,28.6,42.7,0,1036.8,0,No
Son Of Beast,Paramount's Kings Island,Wood,78.4,218,214,7032,0,Yes
Soarin' Eagle,Scream Zone,Steel,25.7,50,0,1282.8,48,Yes
Skyrush,Hersheypark,Steel,75,200,0,3600,0,No
Sky Spin,Skyline Park,Steel,37.3,50.8,0,1391.1,80,No
Sky Scream,Holiday Park,Steel,62,150,0,863,0,Yes
Sky Scrapper,World Joyland,Steel,54.7,104.3,0,2805.1,126,Yes
Sky Rocket,Kennywood,Steel,50,95,0,2100,65,Yes
Silver Bullet,Frontier City,Steel,55,83,75,1942,75,Yes
Shock,Rainbow MagicLand,Steel,59,114.8,0,2460.7,80,Yes
Shambhala,PortAventura Park,Steel,83.3,249.3,255.9,5131.3,180,No
Seven Ring Suspended Looping Coaster,Jinling Happy World,Steel,49.7,108.3,0,2585.3,120,Yes
Serpent,Sindibad,Steel,43.5,72.2,0,1184.4,0,Yes
Screamin' Eagle,Six Flags St. Louis,Wood,62,110,92,3872,150,No
Scream!,Six Flags Magic Mountain,Steel,63,150,141,3985,180,Yes
Schwur des Kernan,Hansa Park,Steel,78.9,239.5,219.8,4051.8,0,Yes
Runaway Mine Train,Cultus Lake Adventure Park,Steel,26,49.3,0,908.8,0,No
Roller Coaster Mayan,Energylandia,Steel,49.7,109.3,0,2260.5,0,Yes
Roller Coaster,Yexian Park,Steel,32.9,65.6,0,2673.9,0,No
Roller Coaster,Zorky's Planet,Steel,21.8,19,0,410.1,0,No
Rockstar Coaster,Fun Spot USA,Steel,29.1,42.7,0,1377.9,90,No
Riddler's Revenge,Six Flags Magic Mountain,Steel,65,156,146,4370,180,Yes
Rewind Racers,Adventure City,Steel,31.1,39.3,0,593.8,0,No
Red Fire,ViaSea,Steel,68.4,180.4,0,3215.3,0,Yes
